ID,Date/Time
2,28/02/24 09:13
19,28/02/24 09:18
19,28/02/24 16:36
19,28/02/24 17:43
26,28/02/24 08:35
26,28/02/24 17:25
29,28/02/24 09:07
29,28/02/24 17:44
72,28/02/24 15:01
72,28/02/24 22:54
76,28/02/24 09:03
76,28/02/24 13:54
78,28/02/24 09:11
78,28/02/24 17:59
85,28/02/24 08:31
85,28/02/24 17:27
125,28/02/24 14:57
125,28/02/24 16:19
125,28/02/24 22:53
139,28/02/24 08:49
139,28/02/24 17:09
167,28/02/24 12:07
167,28/02/24 17:58
177,28/02/24 09:06
177,28/02/24 18:27
245,28/02/24 06:51
396,28/02/24 06:43
396,28/02/24 20:56
558,28/02/24 09:11
558,28/02/24 17:40
620,28/02/24 07:59
620,28/02/24 18:54
624,28/02/24 09:04
624,28/02/24 17:47
1031,28/02/24 09:07
1031,28/02/24 18:46
1137,28/02/24 09:15
1137,28/02/24 17:47
1371,28/02/24 09:09
1371,28/02/24 18:54
1589,28/02/24 07:53
1749,28/02/24 09:14
1749,28/02/24 17:47
1975,28/02/24 09:09
1975,28/02/24 18:46
2754,28/02/24 06:44
2928,28/02/24 08:52
3045,28/02/24 08:48
3045,28/02/24 18:25
3275,28/02/24 08:44
3275,28/02/24 20:41
3447,28/02/24 07:00
3447,28/02/24 20:09
3460,28/02/24 07:02
3460,28/02/24 15:20
4000,28/02/24 06:45
4000,28/02/24 15:20
4201,28/02/24 08:41
4201,28/02/24 11:08
4248,28/02/24 08:29
4248,28/02/24 18:10
4302,28/02/24 08:54
4302,28/02/24 18:04
4340,28/02/24 07:44
4340,28/02/24 21:13
4405,28/02/24 09:03
4405,28/02/24 18:47
4466,28/02/24 09:00
4528,28/02/24 07:30
4528,28/02/24 19:42
4755,28/02/24 08:47
4755,28/02/24 18:45
4766,28/02/24 06:48
4766,28/02/24 22:51
4797,28/02/24 09:13
4797,28/02/24 17:57
4945,28/02/24 08:58
4945,28/02/24 18:52
4970,28/02/24 06:59
4970,28/02/24 22:39
5026,28/02/24 09:10
5026,28/02/24 18:04
5045,28/02/24 09:10
5112,28/02/24 08:21
5112,28/02/24 21:09
5134,28/02/24 07:43
5185,28/02/24 07:34
5185,28/02/24 21:13
5268,28/02/24 07:46
5268,28/02/24 20:36
5385,28/02/24 08:44
5385,28/02/24 18:04
5405,28/02/24 09:08
5405,28/02/24 18:46
5495,28/02/24 08:23
5495,28/02/24 21:09
5652,28/02/24 07:32
5652,28/02/24 20:54
6104,28/02/24 08:45
6104,28/02/24 18:20
6118,28/02/24 10:24
6118,28/02/24 18:36
6140,28/02/24 09:07
6140,28/02/24 18:46
6141,28/02/24 08:29
6141,28/02/24 18:36
6193,28/02/24 08:58
6193,28/02/24 18:25
6234,28/02/24 08:55
6234,28/02/24 17:43
6306,28/02/24 07:29
6306,28/02/24 19:32
6358,28/02/24 09:12
6358,28/02/24 18:04
6563,28/02/24 08:50
6563,28/02/24 18:47
6576,28/02/24 07:36
6576,28/02/24 19:15
6576,28/02/24 20:36
6670,28/02/24 07:29
6670,28/02/24 20:45
6684,28/02/24 09:11
6684,28/02/24 17:47
6685,28/02/24 09:05
6685,28/02/24 17:48
6686,28/02/24 08:54
6686,28/02/24 17:49
6687,28/02/24 08:55
6687,28/02/24 18:25
6718,28/02/24 07:36
