Department,Name,No.,Date/Time 1,Date/Time 2,Date/Time  3,Location ID,ID Number,VerifyCode,CardNo,,
OUR COMPANY,6,6,9:10:00,25-Nov-23,9:10:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:16:00,25-Nov-23,18:16:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,8:58:00,26-Nov-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,17:46:00,26-Nov-23,17:46:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,9:02:00,27-Nov-23,9:02:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:07:00,27-Nov-23,18:07:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,9:01:00,28-Nov-23,9:01:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,17:54:00,28-Nov-23,17:54:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,8:56:00,29-Nov-23,8:56:00,104,,FP/PW/RF/FACE,,,ff
OUR COMPANY,6,6,18:34:00,29-Nov-23,18:34:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,8:58:00,30-Nov-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,17:57:00,30-Nov-23,17:57:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,8:59:00,2-Dec-23,8:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,17:59:00,2-Dec-23,17:59:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,8:53:00,3-Dec-23,8:53:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,8:53:00,3-Dec-23,8:53:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,18:00:00,3-Dec-23,18:00:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,8:58:00,4-Dec-23,8:58:00,104,,FP/PW/RF/FACE,,,
OUR COMPANY,6,6,17:45:00,4-Dec-23,17:45:00,104,,FP/PW/RF/FACE,,,
