"Department","Name","No.","Date/Time","Location ID","ID Number","VerifyCode","CardNo"
"OUR COMPANY","6","6","12/27/2023 6:52 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","12/28/2023 6:01 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","12/30/2023 7:07 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","12/31/2023 8:58 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","12/31/2023 8:04 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/1/2024 8:41 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/1/2024 6:46 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/2/2024 9:00 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/9/2024 9:01 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/9/2024 7:12 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/10/2024 9:01 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/10/2024 7:05 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/11/2024 9:10 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/11/2024 4:42 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/13/2024 9:01 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/13/2024 7:29 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/13/2024 7:30 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/14/2024 9:01 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/14/2024 6:27 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/15/2024 9:02 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/15/2024 6:55 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/16/2024 9:01 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/16/2024 6:16 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/17/2024 8:59 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/17/2024 6:35 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/18/2024 8:57 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/18/2024 6:22 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/20/2024 8:59 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/20/2024 6:09 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","6","6","1/21/2024 8:59 AM","104","","FP/PW/RF/FACE",""
